Corr_por,TOC,Quartz,Calcite,Illite,Mixed_Clays,Clays,Carbonate
4.48,4.72,34.8,0,30.5,18.9,49.4,4.5
4.81,3.72,37.8,0,35.5,19.3,54.8,3.8
3.26,5.01,42.3,3.7,31.2,3.5,34.7,13.2
3.41,4.18,36.3,0,26.6,25.3,52,5.6
4.85,4.98,43.2,0,20.7,19,39.6,7.5
3.92,5.1,28.4,0,35.3,21.7,57,3.7
3.59,5.79,28.1,0,33.6,13.9,48.4,7.9
1.41,0.72,5.2,75.7,0,3.4,6.1,81.6
3.57,6.31,23.1,0,30,24.3,54.3,4.1
3.32,3.55,16.8,0,38.4,7.7,50.5,6.8
3.45,6.94,29.6,0,31.1,9.6,43.6,0
5.23,3.8,20.8,0,42.9,18.4,62.3,1.7
4.61,5.11,17.7,4.7,32.2,12.6,47.6,13
4.61,5.07,19.1,0,36.4,23.7,61.6,2.9
3.74,6.73,17.3,0,35.3,15.8,52.4,5.1
3.75,5.39,32.6,0,26.8,12.1,38.9,15.5
4.75,3.59,15.2,0,48.6,18.9,67.5,2.1
3.54,2.73,10.9,5.2,18.1,9.1,27.3,55.1
3.9,4.88,31.7,0,30.8,20.7,51.5,6.1
4.2,5.49,12.8,2.7,33.2,0,41.5,5.5
3.4,4.78,10.8,22.4,23.7,6.2,33.6,27.4
3.66,2.67,10.8,5.5,23.2,13.1,36.4,42.1
4.25,3.09,20,4.7,36.2,10.1,51,14
3.51,4.38,18.2,7.2,34.4,6.5,44.5,12.3
3.34,6.75,12.8,0,42.9,2.2,54.1,4.1
4.08,3.94,19.5,0,43.7,17.7,61.5,4
2.54,4.86,17.6,25.7,32.4,8.3,45,28.8
1.35,1.7,6.4,67,4,0,11.5,72
2.99,3.95,30,23.5,21.1,6.4,32.7,30.6
2.81,1.75,8.7,8.1,13.1,5.6,18.7,53
5.41,2.83,33.4,1.1,25.7,16.3,42,3.9
6.37,4.99,43.4,1.8,26.4,7.3,35.6,6.7
3.84,3.42,39.3,18,19,1.6,21.4,31.3
4.65,4.56,50,9.4,19.6,4.8,24.5,18.5
4.39,2.78,21.6,7.9,22.4,10,32.4,35.8
3.46,2.91,29.3,7.6,26.5,13.5,42.4,19.2
3.86,1.53,43.1,7.8,28.7,9.8,38.6,8.9
3.77,2.06,26.7,15.4,28.4,11.5,41.7,20.8
4.6,3.52,31,0,33.9,11.8,46.1,5.8
4.16,2.47,16,8.7,28.3,19,49.4,13.8
2.49,2.32,24.8,19.8,27,12.6,39.5,26.1
2.99,3.66,20.2,11.9,25.8,12.4,41.7,17.1
